sample_index,timestamp_utc,elapsed_seconds,has_errors,error_count,error_text,input_feed_temperature,input_feed_pressure,input_feed_mass_flow,input_feed_molar_flow,input_feed_z_benzene,input_feed_z_toluene,output_distillate_temperature,output_distillate_pressure,output_distillate_mass_flow,output_distillate_molar_flow,output_distillate_z_benzene,output_distillate_z_toluene,output_residue_temperature,output_residue_pressure,output_residue_mass_flow,output_residue_molar_flow,output_residue_z_benzene,output_residue_z_toluene,output_c_duty_energy_flow,output_r_duty_energy_flow,state_column_reflux_ratio,state_column_condenser_duty,state_column_reboiler_duty,state_column_stage_count
0,2026-05-07T00:50:41.409772+00:00,0.0,False,0,,300.0,101325.0,1.0,11.74741161937658,0.5,0.5,354.28378743635193,101325.0,0.4704057437248056,5.94741161927658,0.9299646903098469,0.07003530969015315,381.1274648776458,101335.0,0.5295937165205131,5.8,0.05911404916989823,0.9408859508301017,457.21971996915715,574.5898970859454,1.499999999974779,457.21971996915715,-574.5898970859454,13.0
1,2026-05-07T00:50:41.856292+00:00,0.0,False,0,,302.0,101325.0,1.0,11.74741161937658,0.5,0.5,354.28965067476815,101325.0,0.47042830818895004,5.94741161927658,0.9296942042268256,0.07030579577317445,381.11521020883106,101335.0,0.5295711776980405,5.800000000000001,0.05939109468663458,0.9406089053133654,457.2439257636563,571.4812066357681,1.499999999974779,457.2439257636563,-571.4812066357681,13.0
2,2026-05-07T00:50:42.159592+00:00,0.0,False,0,,304.0,101325.0,1.0,11.74741161937658,0.5,0.5,354.29562993835015,101325.0,0.4704512673671309,5.94741161927658,0.9294189866042935,0.07058101339570658,381.1027431076498,101335.0,0.5295482434194294,5.800000000000001,0.0596730011205879,0.9403269988794121,457.26854636360787,568.3557788551615,1.499999999974779,457.26854636360787,-568.3557788551615,13.0
